Somali_homograph,Meaning_Index,Somali_definition
buro,3,"Bararid: astaamaha caanka ah ee halaamacoodka midkood; saddexda kale waxa weeye: kul, casaan, iyo xanuun. Meesha halaamacoodsan waxa bararka u keena ayadoo xididdada yaryarka ah ee dhiigga ka yimaado dhacaan la socdaan boroteyin oo ku urura unugyada dhexdooda. burobahalaad m.dh Buro dhex galeysa oo baabi'inaysa soohyada ama xubinta ay ka farcanto islamarkaasna ku faafi karta meelo kale oo jirka ka mid ah, ayadoo cadcad ka mid ah raacayaan dhiigga ama liinfada. Haddii aan la daweyn wakhti ku habboon waxay keentaa caafimaadka oo maalinba maalinta ka dambeysa sii xummaada iyo dhimasho."
burtuur,1,Marka soorta la karinayo burarka yaryar oo ay yeelato.
burtuur,2,Burar yaryar oo is haysta yeelasho .
burur,1,Dareen qofka ku dhasha marka uu la kulmo wax shucuurtiisa kiciyo oo ka lumiyo ishanashada; jidbo.
burur,2,"Qof, wax shucurtiisa kiciya la kulmay, ishanasho ka lumid; jidbood."
buubaal,1,Rati la rarto oo rar diid ah; layli aan weli rar baran.
buubaal,2,Awr rar la cararid.
buuf,1,Xuddun.
buuf,2,Duufsi.
buuf,3,ku hay: ladnaan. Tus. Cali buuftuu ku hayaa.
buuq,1,Hadal ama cod dheer oo nafley badan isku mar sameyso.
buuq,2,Dad ama xoola badan oo meel isugu yimid.
buuq,3,Jabaq kasta oo dad dhiba; waxa lagu qiyaasaa iskeelka desibal oo u dhexeeya heerka maqalka ugu hooseeya iyo heerka dhawaaqa maqalku xanuuniyo . Dhawaqyo maqalka qasa oo dhexgala liid rakaad ee marin sigaarsiin.
buuq,4,"Nafley badan, hadal ama cod badan isku mar sameyn."
buur,1,Wax sida dhagax ciid iwm oo inta la isdulsaaray dhulka ka yare kacsan.
buur,2,Cuf dhul ah oo in door ah ka sarreeyo dhulalka ku wareegsan kana joog dheer gunbur.
buur,3,"Wax sida ciid, dhagxaan iwm meel tuurid."
buur,4,Af caro darteed la aamusid .
buuri,1,"Geedo jaadad badan ah oo ubax guduud iyo caddaan ah iyo caleemo waaweyn, oo waran qaabki leh, bixiya; saakarro; tabaako."
buuri,2,"Caleenta geedahaas sida sigaarka,shurug,saliid."
buuri,3,buuriga la qiiqiyo
buuri,4,"Qof ama wax cayilin, naaxin; wax weynayn."
taab,1,Xargo isweydaarsan oo gadawga wadaanta iyo dhiilaha loo yeelo si markay buuxaan loogu qaado.
taab,2,Agagaarka guriga.
taab,3,Ubaxa ka soo baxa geedka digirta inta uusan miro yeelan.
taab,4,Wax xoog ku qabasho.
taab,5,Wax fur ku adkayn.
taar,1,War farriin kooban oo nooc raadiyeyaasha ka mid ah lagu diro.
taar,2,Rati raran oo taagan wax saarid.
taarash,1,Qof meel loo diro oo dhanbaaal ama farriin sida; dhanbaalwade.
taarash,2,Daliig dharka la huwado ama la guntado dacalkiisa lagu qurxiyo oo marada iyo faraqa u dhexaysa; xiddo.
taarash,3,Maro tarash u yeelid. 
taayada,1,Maga cuyaal lahaansho oo tilmaamaya wax annagu aanu leenahay. Tus. Taayada lama taaban karo.
taayada,2,Dibkabe lahaansho oo tilmaamaya wax annagu aanu leenahay. Tus. Buugaagtayadu way ka duwanyihiin kuwiinna.
tabaashiir,1,Wax qalin ahaan lagu qoro sabburadaha.
tabaashiir,2,"Dhagax nuuradeed saafi ah, jilicsan oo cad, oo sida caadiga ah ka samaysan kaalshiyam kaarboonayt."
tababbar,1,Tabo aqooneed oo gaar ah oo cid la baro; layli; carbis.
tababbar,2,Qof ama nafley tababar siin.
tacab,1,Hantida xoogsiga ku timaadda.
tacab,2,Beer dalag ka soo saarid.
tacab,3,Hawl faa'iido ka helid.
tacab,4,qof maalgelin si noloshiisa loo hagaajiyo. 
tacaddi,1,Wax lagu kaco oo xaqa weydaarsan; waxyeello; gardarro; xumaato. dacati.
tacaddi,2,xad gudub samayn. 
taf,1,Maro dacalkeed.
taf,2,Meel aan sallaan loo fuulo lahayn korid.
taf,3,Cid turunturreyn.
tafaaful,1,Saadaal xun oo cid lala helo.
tafaaful,2,Cid sixrid; falid.
tag,1,Guur.
tag,2,Nasii
tag,3,Cid meel aadid.
tag,4,wax dayn ama dhaafid.
tag,5,Ka cid wax kala baxsasho; kala bixid.
tag,6,u imaansho; la kulmid; nin naag almoosho.
tagto,1,Waqti la soo dhaafay.
tagto,2,Qaab faleed tilmaama ammin tagay.
takoor,1,Wax gardarro lagu qaato ama lagu doono.
takoor,2,"Inta kale wax ka baxsan, ka soocan."
takoor,3,"Hab lagu kala kaxeeyo dad kala jinsi, diin, midab, iwm."
takoor,4,Qof dad kale ka soocid jirro ama sabab kale awgeed.
tallaal,1,"Malaxda ka samysan cudur keenayaasha oo dhimaty oo oogada la geliyo ama lagu mudo, si cudur looga hortago oo guri looga noqdo."
tallaal,2,Hawsha ama farsamada tallaalka lafteeda.
tallaal,3,Geed yar oo meel laga rujiyo oo meel kale lagu beero.
tallaal,4,Dareere loo diyaariyay in lagu daweeyo ama lagaga hortago cudurrada ay dhaliyaan noolayaasha ilimaaragtayda ah.
tallan,1,Laballaabow; shaki; walaac.
tallan,2,wax samayntooda ku fekerid.
tamar,1,tabar.
tamar,2,"Summad: E. Astaanta qabashada hawl. T.ta waxay leedahay dhawr qaab, waxana lagabbiraa juul . tabar."
tan,1,Culays dhan 1000 kg.
tan,2,Mug.
tan,3,"Magacuyaal tilmaame oo dhaddig, oo wax qofka hadlaya u dhow oo farta la isugu fiiqayo lagu tilmaansado. Tu. Tan meesha fadhidaa waa walaashay."
tan,4,Dibkabe tilmaame oo magac dheddig dib looga qodbo oo wax qofka hadlaya u dhow oo farta la isugu fiiqayo lagu tilmaansado.
taqtaq,1,taqtaqid. Badbadidda ay soortu badbaddo marka la karinaayo.
taqtaq,2,soor jilicsan oo aan weli bislaan.
taqtaq,3,Soor karaysa badbadid.
tar,1,Mid ka mid ah godadka dayaxa oo u dhexeeya neefmadoobaha iyo majinta oo la rumaysanyahay qofka dhasha inuu yeesho taran badan.
tar,2,Magac xiddig; afqays.
taraar,1,Bowd si aad ah ood loogu adkeeyay.
taraar,2,Jibaax; jiiris.
taran,1,Miro dalag la kariyey badasho.
taran,2,Nafley is dhashay tiradeeda badasho.
tarraar,1,Ood laba beerood oo isa saaran u dhexeysa.
tarraar,2,Summad Alif dheer u eg oo garabka ilaa caloosha gaaraya oo geela lagu dhigo.
tartan,1,Baratan.
tartan,2,"Isdhexgal ka dhex dhaca laba ama in ka badan oo noole, tiro dad ama jinsiyo, kuwaas oo wadaaga ilo degaameed. Marka ilaha wax laga helayaa yaraadaan. Tartanku waa quwad muhiim ah marka laga hadlayo tadawurka. Tus. Dhirtu way dheeraadaan si ay ugu tartamaan ilayska qorraxda."
tartan,3,"cid, cid kale la baratamid."
tartar,1,Feeraha hoose oo laallaada.
tartar,2,Dhinac; barbar.
tartar,3,Wax cad cad oogo'id.
tashiil,1,Sahay ama wax kale oo la dhaqaaleeyo si ayan durba u dhammaan; maradhaaro; dhaqaale.
tashiil,2,Wax dhaqaalayn; beekhamayn.
taxan,1,Wax iniino ah oo dhexda ka daloola oo dun la iskula xiriiriyay noqosho.
taxan,2,Tiro wax siday isugu xigeen isu daba yaal noqosho. 
taxan,3,"Wax iniino ah oo dhexda ka daloola, wax dun la iskula xiriiriyey ahaansho."
tayda,1,Magacuyaal lahaansho oo tilmaamaya wax anigu aan leeyahay. Tus. Taydu waay caddahay.
tayda,2,"Dibkabe tlmaamaya wax keli ah oo dheddig, kolka qofka lihii sheegayo inuu leeyahay. Tus. Nin baa hortayda taagan. tay."
tayo,1,Sifo lagarto dhalanka ama abuurta wax kale leeyihiin oo waxyaale kale kaga duwanyihiin; nooc; jaad.
tayo,2,Tan annagu aannu leenahay.
tebbed,1,Qori hoos irridda looga xiro; qataar.
tebbed,2,Weel saan xoolaad ka samaysan oo subagga iyo muqmadda lagu shubto oo leh af dhuuban iyo aabur.
tebbed,3,Irrid iwm tebbed ku xirid.
tee,1,"Magacuyaal weyddiimeed oo dhaddig, oo iskii u taagan, oo wax ama qof lagu hubsado. tus. Waa tee midda hadlaysa imminka?."
tee,2," Dibkabe weyddiimeed oo dheddig, oo wax ama qof lagu hubsado. Tus. Fartee baa kula qurxoon?."
teed,1,Qoryo gaagaaban oo meel la dhisayo la sii saarsaaro.
teed,2,Ood loo dhigo ugaar si ay u marto meel loogu talaggalay.
teeda,1,Magacuyaal lahaansho oo dhaddig ah oo tilmaamaya wax iyadu ay leedahay. eeg keeda. Tus. Weyddii halka ay teeda uga tagtay.
teeda,2,Dibkabe lahaansho oo tilmaamaya wax iyadu ay leedahay. eeg keeda. Tus. Gacanteeda ayay ku qortay warqaddan. teed3.
teelteel,1," kala durugsan, midba meel ku yaal. "
teelteel,2,Wax kala fogfogayn. 
teenna,1,Magacuyaal lahaansho oo tilmaamaya wax annagu aannu leennahay.
teenna,2,Dibkabe lahaansho oo tilmaamaya wax annagu aannu leennahay. Tus. Shirka aan ku qabanno xarunteenna. teen.
teer,1,"Magacuyaal tilmaame oo dhaddig, oo wax ama cid hadlaha ka fog yarana jaahiisa ka babcan lagu"
teer,2,"Dibkabe tilmaame oo dib looga qodbo magac dhaddig, oo wax ama cid hadlaha ka fog yarana jaahiisa ka babcan lagu tilmaansado."
telefishen,1,Raadiyaha la iska arko.
telefishen,2,"Hab isgaarsineed lagudbiyo wararka maqalka iyo muuqaalka. Qaybta ugu muhiimsan hab isgaarsiinta waa kamarada telifishanka oo wararka aragga u beddesha sinyaale danabeed, raacaya mareegta si loogu habeeyo hirarka baaha. Herarkaasi marka ay soo qaadhaan qaybta telefishinka, waxa uu telefishinku u beddelaa hummaag ka muuqda iskiriinka. telefisyoon."
tif,1,  wax buuxa oo aan dhinnayn.
tif,2,Cad ama daliig dun ah ama caws.
tif,3,Dhibcidda.
tif,4,Cod lagu muujiyo dhibcidda.
tif,5,Qori wax dhuuban ka dhigid.
tif,6,Wax duf ka rifid.
tifiq,1,Dhibicda dhiciddeeda ama iyada lafteeda.
tifiq,2,"Hoore dhibicdhibic u soo dhicid. tifiqlee, tiflee, tifqaan."
tii,1,"kuwii, w Magacuyaal aan cayinnayn oo dheddig ah oo cid ama wax la isla ogaa oo maqan oo aan magaciisa la sheegayn. Tus. Waxaan arkay tii qortay buuggan?."
tii,2,"Qodobka 'ta' oo noqda 'tii' kolka uu ka dabadhaco magac dhaddig, qof ka hadlaya iyo qofka lala hadlayo isla ogyihiin ama yaqaanniin. Tus. Aaway baastadii aad karisay?."
tiil,1,Daal iyo xoog aan jirin oo la iska doono.
tiil,2,"Dadaal iyo xoon aan jirin iska doonid, iska raadin."
tiin,1,Geed aan caleemo lahayn oo korkiisa qodxo ku wada rogon; miraha geedkaas.
tiin,2,Macdan.
tiinna,1,Magacuyaal lahaansho oo tilmaamaya wax idinku aad leedihiin.
tiinna,2,Dibkabe lahaansho oo tilmaamaya wax idinku aad leedihiin. Tus. Waa la ogaaday sirtiinna. tiin2.
tiisa,1,Magacuyaal lahaansho oo dhaddig ah oo tilmaamaya wax isagu uu leeyahay. Tus. Nin tiisa haysata tu kale uma daryeelo.
tiisa,2,Dibkabe lahaansho oo tilmaamaya wax isagu uu leeyahay. Tus. Cali beryahan bartiisa lama arkin. 
tilmaame,1,"Tusma bixiye, horkace, wade."
tilmaame,2,"Iskudhis si geddisme ah u beddela midabka, kaas oo ku xiran, PHka milanka uu ku milanyahay. Mitimsyada ogsidhayn yareyntu"
tilmaame,3,Wuxuu tilmaamaa qof ama shay rugtiisa.
timaaddo,1,Wax mustaqbalka dhici doona.
timaaddo,2,Ammin faleed tilmaama fal aan weli dhicin.
tiraab,1,"Erey, hadal ama dhawaaq afka ka soo baxay."
tiraab,2,Hadal aan qornayn .
tiraab,4,Hadlid. Tiraabid
tiro,1,"Hab lagarto kolka mid mid loo soo qaado kaddib, inta inood oo wax ka koobanyahay."
tiro,2,Summado loo adeegsado tirinta iyo cabbiridda.Tirooyinka hadda guud ahaan la adeegsado waxa ay alaysanyihiin habdhis salkiisu yahay Hindi Cara
tiro,3,Tiro kasta oo ah maangal ama murakab waxa jiro noocyo badan oo tirooyin  tirsiimo tiro idil abyooneyaasha tiro lakab ah tiro lakab la'.
tiro,4,"Koox naxweed oo waxqabadkeedu yahay in ay tilmaanto cadad dad, xayawaan iyo shay oo giddigooda ah tirsamayaal. Tus. Kow, labo, qof; tirada lidka isku ah waa keli iyo wadar ."
tiro,5,"Wax meel ka ba'sasho. tirobeel  . xadla'aan ka weyn tiro ama soohdin kasta oo maguuraan ah. Tusaale ahaan, ururka tirooyinka idil."
tis,1,Ood la gooyey oo ishaysata oo hal mar qof qaadi karo; jebis.
tis,2,Tis meel isugu keenid. tisid m.f.dh eeg tis2.
tisqaad,1,Hanaqaadid .
tisqaad,2,Badasho .
toddobabax,1,Xaflad laba qof oo is aroosay toddoba beri kaddib loo sameeyo.
toddobabax,2,Laba qof oo is aroosay toddobaadkii arooska ka bixid.
tog,1,Meel godan oo biyo mareen ah.
tog,2,"Biyo mareen lama degaan kaa soo badanaa engegan, oo biyo leh kaliya xilli roob badan kaddi Togaggu waxay guud ahaan ku baaba'aan lamadegaanka dhexdiisa, waxa laga yaabaa inay ka siilaabmaan lamaddegaanka laftiisa, ama dhalaalidda barafyada ee buuro fog."
tog,3,Wax kala taagid.
tog,4,Tog ku dhex socosho.
togan,1,Wax la togay noqosho.
togan,2,Wax la togay ahaansho.
togan,3,Wax eber ka badan ahansho.
togane,1,Tiro xisaabeed oo eber ka badan.
togane,2,"Labada saldanab, isla eg oo walxuhu leeyihiin middood oo aan elektaroonno xambaarsanayn."
tol,1,Dad xiriir wada dhalasho amo sheegasho ka dhexeeyo.
tol,2,Qaran.
tol,3,Laba wax oo kala go'an ama kala dillaacsan wax is kula qabasho.
tol,4,Hal ilmo diiddey qallacid.
tolan,1,Liilan dheer oo saamaha laga jeexo oo kabaha lagu tolo. tolon.
tolan,2,Wax la tolay ahaansho.
toob,1,Nooc ka mid ah cambuurrada dumarku qaataan.
toob,2,"Oogada, inta la saro, toobin dhiig kaga keenid."
toob,3,"Soo jiidid, soo uruurin; soo yarayn."
toobadkeen,1, qof toobadkeenaya.
toobadkeen,2,Ilaah addeeciddiisa u noqosho.
toobin,1,"Gees ama qalab kale oo u eg oo oogada, inta la saro, dhiigga buka lagaga toobo, lagaga soo saaro."
toobin,2,"Koob ama gees go'an oo la kululeeyay marka lagu qabto jirka meel ka mid ah kaddibna soo dhuuqa dhiigga oo jiroo fooco markaas la sarsaro maqaarka oo dhiig laga keeno, dhiigaas oo loo haysto mid faasid ah sidaasna lagu daaweysmayo."
toobin,3,"Adke salkiisu yahay xood sallax oo oodan, kuna dhammaada bar gees dibedda ka ah sallax saleedka."
tooci,1,Bannaan furan oo aan lahayn gabbaad.
tooci,2,Wax xoog u ereyid. toocin m.f.dh eeg tooci2.
tooda,1,Magacuyaal lahaansho oo tilmaamaya wax iyagu ay leeyihiin. Tus. Tooda u yeel!.
tooda,2,Dibkabe lahaansho oo tilmaamaya wax iyagu ay leeyihiin. Tus. Nimankaas beertooda ayaa miro badan leh. tood.
toogo,1,"Muraad, qasad, hadaf, tooggo."
toogo,2,Nafley rasaas ku ridid.
toogo,3,Wax liishaamid.
toon,1,Miro is qabsaday oo dhuuban.
toon,2,Marka shay lagu dhawaaqayo codku wuxuu noqon karaa mid dheer ama mid gaaban ama mid dhexdhexaad ah.
toon,3,Dhir urursan oo meel ku wada taal.
toon,4,Geed yar oo buruqdisu ka mid ah kuwa cuntada lagu darsado oo lagarfiyo.
toor,1,Beer iyo hilib la yar yareeyey oo la ishiilay.
toor,2,"Bun duban, caano, daango iwm oo la isku daray."
toor,3,"Beer, hilib iyo xayr ishiilid."
toos,1,u soco: qalqallooc iyo leexleexad la'aan u soco.
toos,2,Nafley hurdo ka kicid.
toos,3,Wax aan qalqalooc lahayn noqosho.
toox,1,"Ballac, baaxada, ballaar."
toox,2,Dhar ballac cabbirid.
toox,3,Qaanso boqon kiijin.
tub,1,Dhabbe; waddo.
tub,2,Jidka ay maraan walxaha samaddu marka ay dulalaatiga dhex jiirayaan iyadoo loo fiirinayo bar la doortay. Tubta dhulku waa jidka uu maro dhulku marka uu ku meereysanayo qorraxda.
tub,3,Wax badan meel isugu keenid.
tuf,1,Cudur lafaha gala; riix.
tuf,2,Duco; karaamo.
tuf,3,Kasoobbax halis ah.
tuf,4,"Cudur aalaaba caruurta ku dhaca iyo dhallinyarada wuxuuna ka kacaa infekshin qaybta neefsashada inteeda sare oo uu keeno baktiiriyada haemolitic streptococci. Astaamo: qandho, xubnoholac, marbamarka ka dambeysa xubin saameynaya, baro cascas ee maqaar ka kuuskuus yaryar oo aan xanuun lahayn ama lafo soo baxsan sida xusulka, dhaqdhaqaaq ogaan la'aan oo aan caadi ahayn ee addimada"
tuf,5,Wax afka ku jira dibad u soo saarid.
tuf,6, cid u ducayn.
tun,1,Luqunta dhabarkeeda; jeegada hoosteeda.
tun,2,Badar iwm buushe ka saarid.
tun,3,Cid ul la dhicid.
tun,4,Wan dhufaanid.
tun,5,sacab iskaraacid.
turuq,1,Murqo waaweyn oo dadku yeesho.
turuq,2,Tolmo halhalluuq ah oo foolxun.
turuq,3,Qalab af fiiqan wax ku mudid.
tuug,1,Nin wax xadid caadaystay.
tuug,2,Wax baryo lagu keenay.
tuug,3,Wax baryid; yaboohsasho.
tuunsan,1,Alaab wax meel la isugu uruuriyey noqosho.
tuunsan,2,Wax meel ku uruuray noqosho.
tuur,1,Timaha madaxa oo inta la daayo in yar kor u dheeraada.
tuur,2,Wax meel ta tuuray qaabkiisa. 
tuur,3,Kurus.
tuur,4,"Dadka gasarku ku dhaco, qaabka dhabarkoodu yeesho."
tuur,5,Wax meel tubid.
jaad,1,"qaad . Geed caleentiisa, laamahiisa curdanka ah iyo diirkiisa la calashado oo lagu marqaamo."
jaad,2,Nooc.
jaad,3,Qaad cunid.
jaad,4,cid shaqo u xilsaarid.
jaan,1,Caano geel oo aad u dhanaan.
jaan,2,Cad yar oo saan ah oo loo jaray qaab kabeed.
jaan,3,Meel bannaan.
jaarri,1,Muran iyo canaad isku jira.
jaarri,2,Muran iyo canaad isku jira muujin.
jaawi,1,"farjaawi, farjawi. Fardhexada iyo suulka gacanta oo si xoog ah laysugu xoqo ka shanqarin; suuldhabaalayn."
jaawi,2,Haad turub ka yamxeerin .
jab,1,Wax qaybsamay ama burburay in ka mid ah.
jab,2,"Lafaha, qoryaha iwm kala go' ama dillaac ku dhaca."
jab,3,Fal natiijo xumi ka soo baxdo.
jab,4,Jab lafeed oo dhammeystiran ama bacran ah.
jab,5,Wax dillaacid ama kala go'id.
jab,6,Col iwm guuldarro la kulmid.
jabaq,1,Shanqar yar.
jabaq,2,"Gariirka dhex maraya dhextaal loodsame ah, lehna rakaad iyo itaal nashaadin kara dareenka maqalka ee dhegta aadamaha. Rakaadka jabaqdu waxa uu u dhexeeyaa. 20 > 20,000 heertis, waana gaalis maqalka."
jabaq,3,Shanqar yar samayn. 
jabhad,1,Qof ka mid ah urur u dagaallama xurriyad iyo madaxbannaani
jabhad,2,Weji.
jactad,1,Muuqaalka uu yeesho dhar iwm oo aan si fiicanu kala fidsanayn; canbus.
jactad,2,Garaawshiinyo ama oggolaansho la'aan; muran foolxun.
jactad,3,Hadal jactad ah ku hadlid; asaraarid.
jadeerwac,1,jadeerwicid. Aadista meel aad u fog la aado.
jadeerwac,2,Oggolaansho la'aan.
jadeerwac,3,Meel aad u fog aadid.
jadeerwac,4,Wax diidid.
jadeerwac,5,Cid u jixinjixid.
jaf,1,Garaac; tumid.
jaf,2,Qolofta geedaha laga jafto .
jaf,3,Orod u eg wax la ganay; kuddo; fag.
jaf,4,dheh: daf dheh; la bood; fag dheh.
jaf,5,"ka sii: ka daf, ka dhifo."
jaf,6,Gogol iwm boor ka duulin.
jaf,7,Geed si qolofta looga goosto garaacid.
jaf,8,Geed garaacid ama ruxid si mirihiisi ay u soo daataan.
jafjaf,1,"Dhul dulla ah oo dhaguxu ku badan yahay, leh dhir badan oo geedgaab ah mariddeeduna adagtahay."
jafjaf,2,"Qolof, jilif iwm oo geedo laga soo guray."
jafjaf,3,Gogol iwm boor ka duulin.
jaho,1,jiho . Afarta qiblo midkood.
jaho,2,Doc; gees; dhinac.
jaho,3,jiho 2: wax uun ku dhaqaaqid.
jaho,4,Xanuun la ledi waayid.
jajab,1,Xanuun murqaha ku dhaca.
jajab,2,"Tiro aan hal dhammayn, oo la qaybiyey midkeed."
jal,1,jaq . Caano yar oo ilmaha yaryar la siiyo.
jal,2,cunug aan si fiican u korin nafaqo yari darteed.
jal,3,Dabbidka yar ee la siiyo qof aad u jirran; jeenan.
jal,4,Carruur nafaqo xumo darteed la caatoobid.
jallaad,1,Kutub Quraanka oo dhami ku qoranyahay.
jallaad,2,Toddobada subac ee quraanku ka koobanyahay midkood.
jallaad,3,Jildi korka kaga dahaaran kutub
jallaad,4,Kitaab jildi ku dahaarid.
jar,1,Ariga intiisa cayillan ee laga ganacsado.
jar,2,Roobka ugu horreeya guga.
jar,3,Qarka gawgiisa.
jar,4,Ciyaar fadhiga lagu dheelo sida shaxda iwm. jare .
jar,5,Wax goyn.
jar,6,Ciyaar turub haad la degey midkii lagu booleeyey ku qabasho.
jarjar,1,"Lacag inta ka samaysan bir, maar, macdan iwm oo sarrifka ah."
jarjar,2,Dad aan isku dhalasho ahayn oo la isu keenay.
jarjar,3,Wax mid ahaa qaybo oogoyn.
jarjaran,1,Wax mid ahaa oo qaybo loo googooyay noqosho.
jarjaran,2,Wax mid ahaa oo qaybo loo googooyay ahaansho.
jaw,1,"Yoon dhegta dhexdeeda laga dareemo, kaddib markii aad loo harraado."
jaw,2,Kaamil.
jaw,3,Jibaad meel fog laga maqlaaya.
jaw,4,Keli ah.
jaw,5,Erey la yiraahdo kolka wax lala yaabo.
jawaab,1,Warcelin.
jawaab,2,Wixii lays weyddiiyey ka warcelin.
jawaab,3,Xoolo la shubaya hees u qaadid.
jawi,1,Hawada dhulka ku wareegsan.
jawi,2,Nabar aan biskoon; joqofey.
jawr,1,Xukun aan xaq ahayn; caddaalad darro.
jawr,2,Caddalad darro samayn. 
jeeb,1,Meel wax lagu rito oo dharka la gashado ku tolan.
jeeb,2,Wax si tartiib ah goyn.
jeeb,3,"wax, wax kale iyadoo inta dheeriga ah laga jarayo la ekeysiin."
jeeb,4,cid dembi ay gashay ka gudid.
jeedal,1,Suun adag oo dabo la qabsado leh oo fardaha iwm lala dhaco si ay orodka u badiyaan; nadi. jeydal.
jeedal,2,"Shaabuug qaab dherer yar leh ilaa 150 maykaroon/m. oo laga helo oogaada unugyada qaarkood, gaar ahan unugyada taranka ee socda. Tusaale ahaan isbeermatosowa, bakteeriya iyo qaar ka mid ah borotosowa."
jeedal,3,Jeedal wax la dhicid.
jeegaan,1,Midabyo dhawr ah oo si is kor saar ah u safan oo qaab qaanso leh oo amaysma daruurta marka uu roob da'ayo; qaansaroobaad.
jeegaan,2,"Filiq sanaanta kaahinta birlabdanabeed sida,muuqaalka midabeed ee ka dhasha kala xaydka dhudo ileysee soo dhex mara birisam"
jeegaxiir,1,Timaxiir; jeego xiiridda.
jeegaxiir,2,Nin dhallinyaro ah oo aan weli guursan.
jeel,1,"Wixii dhab loo jecelyahay, araggooda ama maqalkooda ama dhadhankooda, iwm, u bogidda, jamaadda iyo macaanka laga helo."
jeel,2,Dareen rabitaan oo ku abuurma xoolaha marka ay waayaan dhanaan.
jeel,3,Meesha dadka dembiga gala lagu xiro; xabsi.
jeel,4,wax u jeel qabid; wax xiisayn.
jeel,5, xoolo si aad ah dhanaan u rabid.
jeeqaaq,1,Daymo dhinac wax loo dayo.
jeeqaaq,2,Wax rajayn.
jeer,1,Goor; Waqti; Ammin.
jeer,2,goorma?
jeer,3,"Naasley beri biyood ah, xoog leh, af ballaaran, aan dhogor lahayn, lugo gaagaaban oo ku nool webiyada Afrika."
jeesjees,1,Hadal si kibir ah loo yiraahdo oo cid lagu xumaynaayo; kajan; likaaco.
jeesjees,2,Hadal kibir iyo digasho ku jirto cid u jeedin.
jeex,1,Wax la kala dillaacshay qayb ka mid ah.
jeex,2,jeexo. Biyo mareen dhuuban.
jeex,3,Wax dillaacin.
jeexo,1,Meel godan oo biyo mareen ah.
jeexo,2,Wax cad ka dillaacsasho .
jibaal,1,Cabbir dhul beereed
jibaal,2,Dhismo dhagax ah ded kor ka saarid.
jibaax,1,Qufac dadka iyo xoolaha ku dhaca.
jibaax,2,jibaaxid. Maridda xoog lagu maro meel jiq ah ama lagu badanyahay.
jibaax,3,Meel dhir ama dad badan leh xoog ku dhex marid.
jigo,1,"Madaxa dadka iyo xayawaanka dhankiisa dambe, meesha ay iska galaan luqunta xaggeeda sare iyo madaxu; jeego."
jigo,2,Wiil yar xibintiisa taranka girgikeeda harag kadillaacsasho.
jiido,1,"Shanta gobol ama jiidood ee dhulka marmarka qaarkood loo qeybiyo. Waa meelaha ku dhex jira goobaha Artik iyo goobaha Antaartik, oo sida ay kala horreeyaan loo yaqaan jiid baradeedka woqooyi koonfur; meelaha u dhexeeya goobada artik iyo kulaalaha wqooyi, iyo goobada Antaartik iyo kulaalaha koonfureed waxa loo yaqaan sida ay u kala horeeyaan jiidda dhexe; reelaha labaa dhinac ee dhulbadhaha ee u dhexeeya kulaalaha woqooyi iyo kulaalaha koonfureed, waxa loo yaqaan jiidda kulul."
jiido,2,"Soo jiidid ,docdiisa u jiidid."
jiido,3,Wax la tegid iyadoo dhulka lagu jiidayo.
